Time Stretch receptor weights
0.041, 0.129995, 0.155998, 0.181999, 0.208, 0.234, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.081, 0.129995, 0.155998, 0.181999, 0.208, 0.234, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.121, 0.129994, 0.155997, 0.181999, 0.207999, 0.234, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.161, 0.129992, 0.155997, 0.181999, 0.207999, 0.234, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.201, 0.129991, 0.155996, 0.181998, 0.207999, 0.234, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.241, 0.12999, 0.155995, 0.181998, 0.207999, 0.234, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.281, 0.129988, 0.155995, 0.181998, 0.207999, 0.234, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.321, 0.129986, 0.155994, 0.181997, 0.207999, 0.234, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.361, 0.129983, 0.155993, 0.181997, 0.207999, 0.233999, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.401, 0.12998, 0.155991, 0.181996, 0.207998, 0.233999, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.441, 0.129977, 0.15599, 0.181996, 0.207998, 0.233999, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.481, 0.129973, 0.155988, 0.181995, 0.207998, 0.233999, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.521, 0.129968, 0.155986, 0.181994, 0.207997, 0.233999, 0.26, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.561, 0.129963, 0.155984, 0.181993, 0.207997, 0.233999, 0.259999, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.601, 0.129956, 0.155981, 0.181992, 0.207997, 0.233999, 0.259999, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.641, 0.129949, 0.155977, 0.18199, 0.207996, 0.233998, 0.259999, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.681, 0.12994, 0.155973, 0.181989, 0.207995, 0.233998, 0.259999, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.721, 0.129929, 0.155969, 0.181987, 0.207994, 0.233998, 0.259999, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.761, 0.129917, 0.155963, 0.181984, 0.207993, 0.233997, 0.259999, 0.286, 0.312, 0.338, 0.364, 0.39, 0.416
0.801, 0.129903, 0.155957, 0.181982, 0.207992, 0.233997, 0.259999, 0.285999, 0.312, 0.338, 0.364, 0.39, 0.416
0.841, 0.129886, 0.15595, 0.181978, 0.207991, 0.233996, 0.259998, 0.285999, 0.312, 0.338, 0.364, 0.39, 0.416
0.881, 0.129866, 0.155941, 0.181975, 0.207989, 0.233996, 0.259998, 0.285999, 0.312, 0.338, 0.364, 0.39, 0.416
0.921, 0.129843, 0.155931, 0.18197, 0.207987, 0.233995, 0.259998, 0.285999, 0.312, 0.338, 0.364, 0.39, 0.416
0.961, 0.129816, 0.155919, 0.181965, 0.207985, 0.233994, 0.259998, 0.285999, 0.312, 0.338, 0.364, 0.39, 0.416
1.001, 0.129784, 0.155905, 0.181959, 0.207983, 0.233993, 0.259997, 0.285999, 0.312, 0.338, 0.364, 0.39, 0.416
1.041, 0.129747, 0.155888, 0.181952, 0.20798, 0.233992, 0.259997, 0.285999, 0.311999, 0.338, 0.364, 0.39, 0.416
1.081, 0.129703, 0.155869, 0.181944, 0.207976, 0.23399, 0.259996, 0.285998, 0.311999, 0.338, 0.364, 0.39, 0.416
1.121, 0.129651, 0.155846, 0.181934, 0.207972, 0.233988, 0.259995, 0.285998, 0.311999, 0.338, 0.364, 0.39, 0.416
1.161, 0.129591, 0.155819, 0.181922, 0.207967, 0.233986, 0.259994, 0.285998, 0.311999, 0.338, 0.364, 0.39, 0.416
1.201, 0.12952, 0.155788, 0.181909, 0.207962, 0.233984, 0.259994, 0.285997, 0.311999, 0.338, 0.364, 0.39, 0.416
1.241, 0.129437, 0.155751, 0.181893, 0.207955, 0.233981, 0.259992, 0.285997, 0.311999, 0.337999, 0.364, 0.39, 0.416
1.281, 0.12934, 0.155708, 0.181874, 0.207947, 0.233978, 0.259991, 0.285996, 0.311999, 0.337999, 0.364, 0.39, 0.416
1.321, 0.129227, 0.155657, 0.181853, 0.207938, 0.233974, 0.25999, 0.285996, 0.311998, 0.337999, 0.364, 0.39, 0.416
1.361, 0.129093, 0.155598, 0.181827, 0.207927, 0.23397, 0.259988, 0.285995, 0.311998, 0.337999, 0.364, 0.39, 0.416
1.401, 0.128937, 0.155528, 0.181797, 0.207915, 0.233965, 0.259986, 0.285994, 0.311998, 0.337999, 0.364, 0.39, 0.416
1.441, 0.128755, 0.155447, 0.181762, 0.2079, 0.233959, 0.259983, 0.285993, 0.311997, 0.337999, 0.364, 0.39, 0.416
1.481, 0.128541, 0.155351, 0.181721, 0.207883, 0.233951, 0.25998, 0.285992, 0.311997, 0.337999, 0.363999, 0.39, 0.416
1.521, 0.128291, 0.155239, 0.181672, 0.207862, 0.233943, 0.259977, 0.285991, 0.311996, 0.337998, 0.363999, 0.39, 0.416
1.561, 0.127999, 0.155108, 0.181616, 0.207838, 0.233933, 0.259973, 0.285989, 0.311996, 0.337998, 0.363999, 0.39, 0.416
